activity	sp2
Rennet	Urera baccifera
Repellent	Calycophyllum spruceanum/Carapa guianensis/Citrullus colocynthis/Elaeis guineensis/Minthostachys mollis/Piper umbellatum
Resipira stimulant	Strychnos nux-vomica
Respiradepressant	Acorus calamus/Alpinia galanga/Argemone mexicana/Asparagus racemosus/Banisteriopsis caapi/Cannabis sativa/Chamaesyce hirta/Cissampelos pareira/Citrus sinensis/Conium maculatum/Consolida regalis/Lophophora williamsii/Nicotiana glauca/Paeonia suffruticosa/Piper nigrum/Quillaja saponaria/Rauvolfia sepentina/Tabernanthe iboga/Veratrum album
Respiraparalytic	Helleborus viridis
Respirasedative	Gelsemium sempervirens
Respirastimulant	Aegle marmelos/Alpinia galanga/Anethum graveolens/Argemone mexicana/Arnica montana/Aspidosperma quebracho-blanco/Calotropis procera/Camellia sinensis/Chamaesyce hirta/Chenopodium ambrosioides/Cinnamomum camphora/Conium maculatum/Coriaria ruscifolia/Dysphania ambrosioides/Ephedra gerardiana/Espeletia schultzii/Eucommia ulmodes/Ferula assa-foetida/Guazuma ulmifolia/Justicia adhatoda/Lobelia inflata/Moringa oleifera/Nicotiana tabacum/Nigella sativa/Panax ginseng/Papaver rhoeas/Passiflora caerulea/Passiflora incarnata/Prunus Laurocerasus/Schisandra chinensis/Tabebuia spp./Withania somnifera/Zingiber officinale
Respiratonic	Bacopa monnieri/Thymus serpyllum/Tussilago farfara
Restenosis	Curcuma longa
Restorative	Centella asiatica/Cola nitida/Ficus carica/Silphium perfoliatum
Retinoprotective	Pinus pinaster
Retinosis	Glycyrrhiza glabra/Syzygium aromaticum
Reverse Transcriptase Inhibitor	Argemone mexicana/Calendula officinalis/Cetraria islandica/Espeletia schultzii/Lawsonia inermis/Melissa officinalis/Phyllanthus niruri/Physalis angulata/Prunella vulgaris/Spondias mombin/Tabebuia rosea/Tabebuia spp./Thevetia peruviana
Reverse trascriptase inhibitor	Argemone mexicana
Revulsive	Piper auritum
Rheumatism	Allium cepa/Allium sativum/Alpinia galanga/Alpinia officinarum/Amomum compactum/Apium graveolens/Armoracia rusticana/Boswellia sacra/C. calisaya/C. officinalis/C. pubescens/Capparis spinosa/Capsicum spp./Carum carvi/Cinnamomum verum/Commiphora myrrhea/Costus speciosus/Cunila origanoides/Curcuma longa/Curcuma zedoaria/Cymbopogon citratus/Dipteryx odorata/Eryngium foetidum/Ferula assa-foetida/Gaultheria procumbens/Glycyrrhiza glabra/Illicium verum/Juniperus Communis/Kaempferia galanga/Laurus nobilis/Lindera benzoin/Moringa oleifera/Myristica fragrans/Myrtus communis/Persea americana/Peumus boldus/Pimenta dioica/Pimenta recemosa/Pistacia lentiscus/Sassafras albidum/Schinus terebinthifolius/Tamarindus indica/Theobroma cacao/Trigonella foenum-graecum/Vataireopsis araroba/Xylopia aethiopica/Zingiber officinale
Rheumatosis	Sesamum indicum
Rhinosis	Allium sativum/Apium graveolens/Armoracia rusticana/C. calisaya/C. officinalis/C. pubescens/Commiphora myrrhea/Curcuma longa/Glycyrrhiza glabra/Juniperus Communis/Kaempferia galanga/Moringa oleifera/Nigella sativa/Piper nigrum/Syzygium aromaticum/Vanilla planifolia
Rib Ache	Xylopia aethiopica
Ribosome inactivator	Mirabilis jalapa/Sechium edule/Ximenia americana
Rinderpest	Ferula assa-foetida
Ringworm	Allium sativum/Curcuma longa/Cymbopogon citratus/Ferula assa-foetida/Piper nigrum/Pistacia lentiscus/Tamarindus indica/Vataireopsis araroba
Roborant	Eucommia ulmodes/Panax ginseng
Rodenticide	Bowiea volubilis/Coriaria ruscifolia/Dieffenbachia seguine/Erythrophleum suaveolens/Gliricidia sepium/Helleborus niger/Hyoscyamus niger/Jatropha curcas/Nepeta cataria/Neriu oleander/Persea americana/Physostigma venenosum/Tropaeolum majus/Tropaeolus majus/Urginea maritima
Roemheld Syndrome	Alpinia officinarum/Elettaria cardamomum
Sterilant	Aegle marmelos/Alisma plantago-aquatica/Apocynum cannabinum/Asclepias syriaca/Biophytum sensitivum/Carica papaya/Cicuta maculata/Desmodium adscendens/Dieffenbachia seguine/Heliotropium indicum/Piper betle/Pourouma cecropiifolia/Rosmarinus officinalis/Spondias mombin/Ximenia americana
Sternutator	Achillea ptarmica/Aesculus hippocastanum/Alpinia galanga/Apocynum cannabinum/Arisaema triphyllum/Arnica montana/Carex arenaria/Conyza bonariensis/Erythrophleum suaveolens/Garcinia hanburyi/Gypsophila paniculata/Helleborus niger/Helleborus viridis/Morella cerifera/Neriu oleander/Ocimum basilicum/Phytolacca americana/Pogostemon cablin/Psychotria ipecacuanha/Quillaja saponaria/Ranunculus bulbosus/Schoenocaulon officinale/Veratrum album/Veratrum viride/Zingiber officinale
Sternutatory	Achillea millefolium/Carapichea ipecacuanha/Conyza canadensis/Ipomoea quamoclit/Melissa officinalis/Morella cerifera/Petiveria alliacea/Quillaja saponaria/Schoenocaulon officinale
Rubefacient	Alisma plantago-aquatica/Allium cepa/Allium sativum/Anacardium occidentale/Anacyclus pyrethrum/Angelica archangelica/Armoracia rusticana/Bacopa monnieri/Bocconia frutescens/Brassica juncea/Brassica nigra/Caesalpinia bonduc/Calotropis gigantea/Calotropis procera/Canarium vulgare/Capsella bursa-pastoris/Capsicum frutescens/Capsicum spp./Carapichea ipecacuanha/Cardiospermum halicacabum/Carica papaya/Celastrus paniculatus/Chimaphila spp./Cinnamomum camphora/Clematis recta/Clematis vitalba/Cochlearia officinalis/Crataeva nurvala/Croton tiglium/Curcuma zedoaria/Daphne mezereum/Eucalyptus globulus/Euphorbia resinifera/Euphorbia tirucallis/Gaultheria procumbens/Harugana madagascariensis/Jatropha curcas/Jatropha multifida/Juglans cinerea/Juniperus sabina/Justicia adhatoda/Larix decidua/Laurus nobilis/Lavandula spp./Maranta arundinacea/Melaleuca alternifolia/Melaleuca cajuputi/Melaleuca leucadendra/Melaleuca viridilora/Monarda punctata/Moringa oleifera/Mucuna pruriens/Myroxylon balsamum/Myrtus communis/Persea americana/Picea abies/Picea glauca/Pimenta dioica/Pimenta racemosa/Pimenta rece/Pinus caribaea/Pinus palustris/Pinus sylvestris/Piper longum/Piper nigrum/Piper umbellatum/Plumbago Zeylanica/Plumeria alba/Plumeria rubra/Polygonum hydropiper/Psychotria ipecacuanha/Ranunculus sceleratus/Rosmarinus officinalis/Rumex crispus/Ruta graveolens/Sinapis alba/Syzygium aromaticum/Tamus communis/Thymus vulgaris/Tropaeolum majus/Tropaeolus majus/Tsuga canadensis/Urera baccifera/Urtica dioica/Verbena officinalis
S-Adenosylmethionine decarboxylase inhibitor	Theobroma cacao
Salpingosis	Commiphora myrrhea
Saluretic	Astragalus membranaceus/Betula spp./Herniaria glabra/Hibiscus sabdariffa/Orthosiphon aristatus/Ribes nigrum/Taraxacum officinale
Sarcoma	Ferula assa-foetida
Scab	Sesamum indicum
Scabicide	Euonymus atropurpureus/Liquidambar orientalis/Piper nigrum/Plumbago Zeylanica/Tanacetum cinerariifolium/Veratrum album
Scabies	Allium cepa/Allium sativum/Apium graveolens/Carum carvi/Cocos nucifera/Costus speciosus/Curcuma longa/Cymbopogon citratus/Elettaria cardamomum/Illicium verum/Juniperus Communis/Kaempferia galanga/Laurus nobilis/Moringa oleifera/Persea americana/Piper nigrum/Sesamum indicum/Tamarindus indica/Theobroma cacao
Scar	Bixa orellana
Scarlatina	Capsicum spp./Piper nigrum/Sassafras albidum
Schirrhus	Apium graveolens
Schisonticide	Aegle marmelos
Schistosoma	Aframomum melegueta/Apium graveolens/Dipteryx odorata/Tamarindus indica/Zingiber officinale
Schistosomacide	Abrus precatorius/Annona glabra/Artemisia annua/Hemerocallis fulva/Protium heptaphyllum/Tabebuia spp./Tamarindus indica/Zingiber officinale
Schizonticide	Artemisia annua/Cinchona officinalis/Cinchona pubescens
Sciatica	Allium sativum/Armoracia rusticana/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Gaultheria procumbens/Myristica fragrans/Schinus terebinthifolius/Trigonella foenum-graecum
Scirrhus	Moringa oleifera/Pimenta recemosa/Piper nigrum/Pistacia lentiscus
Sclerosis	Laurus nobilis/Nigella sativa/Pistacia lentiscus/Prunus dulcis
Scrofula	Gaultheria procumbens/Juniperus Communis/Moringa oleifera/Sassafras albidum/Trigonella foenum-graecum
Scurvy	Cocos nucifera/Hibiscus sabdariffa
Seasickness	Alpinia officinarum/Capsicum spp./Zingiber officinale
Seborrhea	Hibiscus sabdariffa
Secretagogue	Angelica archangelica/Artemisia absinthium/Brassica juncea/Camellia sinensis/Celastrus scandens/Centaurium erythraea/Cinnamomum camphora/Citrus reticulata/Curcuma longa/Euterpe oleracea/Harpagophytum procumbens/Harugana madagascariensis/Humulus lupulus/Hydrastis canadensis/Hyptis verticillata/Iberis amara/Juniperus virginiana/Leucojum aestivum/Leucojum vernum/Levisticum officinale/Marrubium vulgare/Myrciaria dubia/Nigella sativa/Panax ginseng/Peumus boldus/Pilocarpus spp/Pilocarpus spp./Piper nigrum/Platycodon grandiflorum/Plectranthus barbatus/Pueraria montana/Quassia amara/Raphanus sativus/Ricinus communis/Rumex acetosa/Salvia officinalis/Sambucus canadensis/Sambucus nigra/Scoparia dulcis/Solanum dulcamara/Strychnos nux-vomica/Swertia chirayta/Swertia japonica/Taraxacum officinale/Thuja occidentalis/Zanthoxylum spp./Zingiber officinale
Secretolytic	Adiantum capillus-veneris/Anacardium occidentale/Atractylodes lancea/Atropa belladonna/Bixa orellana/Cecropia peltata/Chondrus crispus/Cinnamomum camphora/Citrus sinensis/Copaifera officinalis/Curcuma longa/Drimys winteri/Drosera ramentacea/Drosera rotundifolia/Elettaria cardamomum/Eucalyptus globulus/Foeniculum vulgare/Glycyrrhiza glabra/Hedera helix/Hymenaea courbaril/Hyoscyamus niger/Inula britannica/Mentha arvensis/Mentha x/Myrcia multiflora/Picea abies/Pimpinella saxifraga/Pinus sylvestris/Primula veris/Raphanus sativus/Salvia officinalis/Serenoa repens/Stachytarpheta jamaicensis/Swertia japonica/Tabebuia spp./Theobroma cacao/Thymus vulgaris/Trigonella foenum-graecum/Turnera diffusa/Verbena officinalis/Viola odorata
Secretomotor	Eucalyptus globulus/Pimpinella saxifraga/Ricinus communis/Thymus serpyllum/Thymus vulgaris
Secretory	Chondrus crispus
Sedative	Achillea millefolium/Achyrocline satureioides/Acorus calamus/Actaea racemosa/Actinidia polygama/Aegopodium podagraria/Aethusa cynapium/Agrimonia eupatoria/Albizia julibrissin/Aletris farinosa/Allium cepa/Allium sativum/Aloysia citriodora/Aloysia citrodora/Amaranthus caudatus/Anacardium occidentale/Anaphalis margaritacea/Anemopsis californica/Anemore pulsatilla/Anethum graveolens/Angelica sinensis/Annona muricata/Annona squamosa/Apium graveolens/Areca catechu/Argemone mexicana/Aristolochia triangularis/Arnica montana/Artemisia absinthium/Artemisia vulgaris/Asparagus officinalis/Aspidosperma quebracho-blanco/Atractylodes lancea/Atractylodes macrocephala/Atropa belladonna/Avena sativa/Ayapana triplinervis/Azadirachta indica/Bacopa monnieri/Ballota nigra/Berberis vulgaris/Bidens tripartita/Bixa orellana/Bocconia frutescens/Borago officinalis/Boswellia sacra/Boswellia serrata/Bourreria succulenta/Bridens pilosa/Brosimum alicastrum/Brugmansia arborea/Brugmansia suaveolens/Brugmansia x/Bupleurum chinense/Bursera graveolens/Bursera simaruba/Buxus sempervirens/Calendula officinalis/Calluna vulgaris/Cannabis sativa/Capraria biflora/Cardiospermum halicacabum/Carica papaya/Carthamus tinctorius/Cassia grandis/Castanea sativa/Catharanthus roseus/Ceanothus americanus/Ceiba pentandra/Celastrus paniculatus/Centaurium erythraea/Centella asiatica/Centranthus ruber/Cephalanthus occidentalis/Chamaemelum nobile/Chamaesyce hirta/Chamissoa altissima/Chelidonium majus/Chiococca alba/Chrysanthemum x/Chuquiraga insignis/Cichorium intybus/Cinnamomum aromaticum/Cinnamomum camphora/Cinnamomum verum/Cissampelos pareira/Cissus verticillata/Citrus aurantiifolia/Citrus reticulata/Citrus sinensis/Citrus x/Cochlospermum religiosum/Cola nitida/Colchicum autumnale/Collinsonia canadensis/Conium maculatum/Consolida regalis/Corallorhiza odontorrhiza/Coriandrum sativum/Corydalis ambigua/Corynanthe pachycera/Crataegus spp./Crocus sativus/Croton eluteria/Cullen corylifolium/Cymbopogon citratus/Cynoglossum officinale/Cyperus articulatus/Cypripedium spp./Daemonorops draco/Datura inoxia/Datura metel/Datura stramonium/Dbuboisia myoporoides/Desmodium gangeticum/Dictamnus albus/Digitalis purpurea/Dodonaea viscosa/Dysphania ambrosioides/Elytrigia repens/Erythrophleum suaveolens/Erythroxylum verna/Eschscholzia californica/Espeletia schultzii/Eucalyptus globulus/Eucommia ulmodes/Ferula assa-foetida/Ferula sumbul/Filipendula ulmaria/Fumaria officinalis/Galega offininalis/Galium odoratum/Gallesia integrifolia/Ganoderma lucidum/Gelsemium sempervirens/Gliricidia sepium/Glycyrrhiza glabra/Grindelia squarrosa/Hamamelis virginiana/Harpagophytum procumbens/Hedeoma pulegioides/Hedera helix/Heimia salicifolia/Hemerocallis fulva/Hibiscus sabdariffa/Humulus lupulus/Hydnocarpus spp./Hydrastis canadensis/Hymenaea courbaril/Hyoscyamus niger/Hypericum perforatum/Hyptis mutabilis/Hyptis verticillata/Hyssopus officinalis/Ilex guayusa/Indigofera suffruticosa/Inula helenium/Jasminum officinale/Jatropha gossypiifolia/Jatropha macrantha/Juniperus Communis/Juniperus virginiana/Justicia adhatoda/Justicia pectoralis/Kalmia latifolia/Lactuca virosa/Lagochilus inebrians/Lamium album/Lantana camara/Laurus nobilis/Lavandula spp./Lawsonia inermis/Leonurus cardiaca/Leonurus japonicus/Leucojum aestivum/Leucojum vernum/Levisticum officinale/Lippia alba/Lithospermum officinale/Lobelia inflata/Lophophora williamsii/Lycopus europaeus/Mahonia aquifolium/Mals domestica/Mandragora officinarum/Manihot esculenta/Manilkara zapota/Marsdenia cundurango/Melaleuca leucadendra/Melia azedarach/Melilotus offinalis/Melissa officinalis/Mentha canadensis/Mentha longifolia/Mentha spicata/Mentha x/Menyanthes trifoliata/Mimosa polydactyla/Mimosa pudica/Morinda citrifolia/Moringa oleifera/Morus alba/Muntingia calabura/Myrciaria dubia/Myrica gale/Myristica fragrans/Myrtus communis/Narcissus tazetta/Nardostachys grandiflora/Nelumbo nucifera/Nepeta cataria/Nicotiana tabacum/Ocimum basilicum/Ocimum campechianum/Ocimum tenuiflorum/Oenothera biennis/Opuntia ficus-indica/Origanum majorana/Origanum vulgare/Oryza sativa/Paeonia lactiflora/Paeonia suffruticosa/Panax ginseng/Panax pseudoginseng/Papaver bracteatum/Papaver rhoeas/Papaver somniferum/Parkinsonia aculeata/Passiflora caerulea/Passiflora coriacea/Passiflora edulis/Passiflora foetida/Passiflora incarnata/Passiflora laurifolia/Passiflora quadrangularis/Paullinia cupana/Peganum harmala/Perilla frutescens/Petasites hybridus/Petiveria alliacea/Petroselinum crispum/Peucedanum ostruthium/Peumus boldus/Phlebodium aureum/Phyla dulcis/Phyla scaberrima/Phyllanthus niruri/Physostigma venenosum/Phytolacca americana/Picramnia pentandra/Pimenta dioica/Pimenta rece/Pimpinella anisum/Pinellia ternata/Piper aduncum/Piper amalago/Piper betle/Piper cubeba/Piper longum/Piper methysticum/Piper umbellatum/Piscidia piscipula/Platycodon grandiflorum/Pluchea sagittalis/Plumeria rubra/Polygala tenuifolia/Polygonatum biflorum/Polygonum hydropiper/Polygonum multiflorum/Portulaca oleracea/Primula veris/Protium heptaphyllum/Prunus armeniaca/Prunus cerasus/Prunus dulcis/Prunus Laurocerasus/Prunus serotina/Psidium guajava/Pueraria montana/Quercus infectoria/Ranunculus bulbosus/Rauvlfia tetraphylla/Rauvolfia sepentina/Rhododendron ferrugineum/Robinia pseudoacacia/Rosmarinus officinalis/Rumex crispus/Ruta graveolens/Salix alba/Salvia fruticosa/Salvia miltiorrhiza/Salvia officinalis/Sambucus canadensis/Santalum album/Satureja sp./Saussurea costus/Schisandra chinensis/Scoparia dulcis/Scrophularia nodosa/Scutellaria baicalensis/Scutellaria lateriflora/Sechium edule/Serenoa repens/Sida acuta/Sida cordifolia/Sida rhombifolia/Simarouba amara/Solanum dulcamara/Solanum mammosum/Solanum nigrum/Solanum torvum/Solidago virgaurea/Sonchus oleraceus/Spigelia anthelmia/Spigelia marilandica/Spondias mombin/Stachys officinalis/Stachys palustris/Stachytarpheta jamaicensis/Styrax benzoin/Symplocarpus foetidus/Tabernaemontana sananho/Tagetes erecta/Tanacetum parthenium/Tanacetum vulgare/Taxus baccta/Taxus canadensis/Terminalia arguna/Tetradium ruticarpum/Theobroma cacao/Thespesia populnea/Thevetia peruviana/Thymus vulgaris/Tilia spp./Tillandsia usneoides/Toxicodendron pubescens/Trifolium pratense/Triticum aestivum/Tropaeolum majus/Valeriana jatamansi/Valeriana officinalis/Veratrum album/Veratrum viride/Verbascum spp./Verbena officinalis/Vetiveria zizanioides/Viburnum opulus/Viburnum prunifolium/Vinca minor/Viola odorata/Viola tricolor/Viscum album/Vitex agnus-castus/Vitex negundo/Withania somnifera/Xanthium spinosum/Xanthium strumarium/Xanthorhiza simplicissima/Yucca filamentosa/Zanthoxylum clava-herculis/Zea mays/Ziziphus jujuba/Ziziphus mauritiana
Selective estrogen receptor modulator	Swartzia polyphylla
Selective serotonin reuptake inhibitors	Hypericum perforatum/Pausinystalia johimbe
Senile dementia	Allium sativum
Senility	Glycyrrhiza glabra
Sepsis	Allium sativum
Septicemia	C. calisaya/C. officinalis/C. pubescens/Moringa oleifera
Serine protease inhibitor	Mikania guaco/Tamarindus indica
Serotonilytic	Panax ginseng
Serotoninergic	Arachis hypogaea/Eleutherococcus senticosus/Hypericum perforatum/Piper methysticum
Shampoo	Quillaja saponaria
Steroid precursor	Trigonella foenum-graecum/Yucca spp
Steroid-precursor starter material progesterone, testosterone, and other steroids	Smilax aristolochiifolia
Stimulant	Abelmoschus esculentus/Abelmoschus moschatus/Acacia catechu/Acacia farnesiana/Acacia nilotica/Acacia senegal/Achillea millefolium/Acmella oleracea/Acorus calamus/Adiantum capillus-veneris/Aegopodium podagraria/Aframomum melegueta/Agathosma betulina/Ageratum conyzoides/Ajuga chamaepitys/Akebia quinata/Albizia julibrissin/Alchornea floribunda/Aleurites moluccana/Allium cepa/Allium schoenoprasum/Aloe vera/Aloysia citriodora/Aloysia citrodora/Alpinia galanga/Alpinia officinarum/Alstonia constricta/Amanita muscaria/Ambrosia arborescens/Ambrosia peruviana/Amomum aromaticum/Anacardium occidentale/Anacyclus pyrethrum/Anemopaegma arvense/Anethum graveolens/Angelica archangelica/Angostura officinalis/Angostura trifoliata/Apium graveolens/Aralia nudicaulis/Aralia spinosa/Areca catechu/Argemone mexicana/Argyreia nervosa/Aristolochia clematitis/Aristolochia serpentaria/Aristolochia triangularis/Aristolochia trilobata/Armoracia rusticana/Arnica montana/Artemisia abrotanum/Artemisia absinthium/Artemisia afra/Artemisia vulgaris/Asparagus racemosus/Aspidosperma quebracho-blanco/Atractylodes japonica/Atractylodes lancea/Ayapana triplinervis/Azadirachta indica/Ballota nigra/Bidens pilosa/Biophytum sensitivum/Blainvillea acmella/Blighia sapida/Boerhavia diffusa/Boswellia sacra/Brassica juncea/Brassica napus/Brassica nigra/Bridens pilosa/Broussonetia papyrifera/Brugmansia versicolor/Calendula officinalis/Calliandra angustifolia/Calotropis gigantea/Calotropis procera/Calycophyllum spruceanum/Camellia sinensis/Canarium vulgare/Canna indica/Cannabis sativa/Capparis spinosa/Capraria biflora/Capsicum frutescens/Capsicum spp./Carthamus tinctorius/Carum carvi/Cassia grandis/Catha edulis/Celastrus paniculatus/Centaurea cyanus/Centella asiatica/Chamaemelum nobile/Chamaesyce hirta/Chaptalia nutans/Chenopodium ambrosioides/Chimaphila spp./Chuquiraga insignis/Cicer arietinum/Cichorium endivia/Cinchona officinalis/Cinchona pubescens/Cinnamomum camphora/Cinnamomum tamala/Cinnamomum verum/Cissampelos pareira/Citrus reticulata/Cnicus benedictus/Cochlearia officinalis/Cochlospermum religiosum/Coffea arabica/Cola acuminata/Cola nitida/Cola spp./Collinsonia canadensis/Commiphora myrrha/Copaifera langsdorffii/Copaifera langsdorfii/Copaifera officinalis/Cordia ecalyculata/Coriandrum sativum/Coriaria ruscifolia/Cornus florida/Costus speciosus/Costus spicatus/Crithmum maritimum/Crocus sativus/Croton eluteria/Cullen corylifolium/Cuminum cyminum/Cunila origanoides/Cupressus sempervirens/Curcuma longa/Curcuma zedoaria/Cyclamen europaeum/Cymbopogon citratus/Cyperus articulatus/Cypripedium spp./Daphne mezereum/Datura metel/Daucus carota/Dbuboisia myoporoides/Dictamnus albus/Dioscorea spp./Dipteryx odorata/Dodonaea viscosa/Dorema ammoniacum/Dorstenia contrajerva/Dorstenia contrayerba/Dracontium spp./Drimys winteri/Duranta erecta/Dysphania ambrosioides/Elettaria cardamomum/Eleutherococcus senticosus/Ephedra spp./Equisetum bogotense/Eryngium foetidum/Erysimum cheiri/Erythrophleum suaveolens/Erythroxylum coca/Eucalyptus globulus/Eupatorium perfoliatum/Eupatorium purpureum/Ferula assa-foetida/Ferula gummosa/Ferula sumbul/Ficus insipida/Foeniculum vulgare/Gardenia jasminoides/Gaultheria procumbens/Glechoma hederacea/Grindelia squarrosa/Guarea guidonia/Guarea rusbyi/Guariacum officinale/Guariacum Sanctum/Hedeoma pulegioides/Hedera helix/Helianthus annuus/Homalomena spp./Hydrangea arborescens/Hypericum perforatum/Hyptis capitata/Hyptis verticillata/Hyssopus officinalis/Ilex guayusa/Ilex paraguariensis/Illicium verum/Indigofera tinctoria/Iris versicolor/Jatropha macrantha/Juglans cinerea/Juglans regia/Juniperus Communis/Kaempferia galanga/Lachnanthes tinctoria/Lantana camara/Larix decidua/Larix laricina/Laurus nobilis/Lavandula spp./Leonurus cardiaca/Lepidium sativum/Liatris spicata/Lilium candidum/Lindera benzoin/Liquidambar orientalis/Liriodendron tulipifera/Lobelia inflata/Lophophora williamsii/Magnolia virginiana/Mandragora officinarum/Marrubium vulgare/Medicago sativa/Melaleuca cajuputi/Melaleuca leucadendra/Melia azedarach/Melilotus offinalis/Melissa officinalis/Mentha aquatica/Mentha arvensis/Mentha longifolia/Mentha pulegium/Mentha spicata/Mentha x/Michelia champaca/Monarda punctata/Morella cerifera/Moringa oleifera/Mucuna pruriens/Myrica gale/Myristica fragrans/Myroxylon balsamum/Myrtus communis/Nardostachys grandiflora/Nasturtium officinale/Nepeta cataria/Neriu oleander/Nigella sativa/Ocimum basilicum/Ocimum campechianum/Ocimum tenuiflorum/Oenanthe aquatica/Onopordum acanthium/Origanum vulgare/Panax quinquefolius/Papaver somniferum/Passiflora edulis/Paullinia cupana/Paullinia yoko/Pausinystalia johimbe/Peganum harmala/Petasites hybridus/Peucedanum ostruthium/Peumus boldus/Phyla dulcis/Phyla scaberrima/Phytolacca americana/Pilocarpus spp./Pimenta dioica/Pimenta racemosa/Pimenta rece/Pinus strobus/Piper aduncum/Piper amalago/Piper auritum/Piper betle/Piper callosum/Piper cubeba/Piper longum/Piper methysticum/Piper nigrum/Pistacia lentiscus/Plantago major/Pluchea sagittalis/Plumbago Zeylanica/Plumeria alba/Plumeria rubra/Polygonum hydropiper/Populus sp./Portulaca oleracea/Prunus dulcis/Ptychopetalum olacoides/Punica granatum/Raphanus sativus/Rhododendron ponticum/Rosmarinus officinalis/Rubus idaeus/Rubus spp./Ruta graveolens/Salvia sclarea/Sambucus canadensis/Sambucus nigra/Santalum album/Santolina chamaecyparissus/Sarracenia purpurea/Sassafras albidum/Satureja sp./Saussurea costus/Schinus terebinthifolius/Selenicereus grandiflorus/Senecio aureus/Senna occidentalis/Serenoa repens/Sida rhombifolia/Silphium perfoliatum/Silybum marianum/Sinapis alba/Siparuna guianensis/Sisymbrium officinale/Solanum dulcamara/Solanum lasiocarpum/Solanum melongena/Soliago odora/Solidago virgaurea/Sophora secundiflora/Spondias mombin/Spondias purpurea/Stachytarpheta cayennensis/Stachytarpheta jamaicensis/Strophanthus hispidus/Strychnos ignatii/Strychnos nux-vomica/Styrax benzoin/Swertia japonica/Symplocarpus foetidus/Syzygium aromaticum/Tabernanthe iboga/Tagetes erecta/Tagetes minuta/Tagetes patla/Tanacetum parthenium/Tanacetum vulgare/Taraxacum officinale/Taxus canadensis/Tephrosia virginiana/Tetradium ruticarpum/Teucrium chamaedrys/Teucrium scordium/Theobroma cacao/Thuja occidentalis/Thymus vulgaris/Toxicodendron pubescens/Toxicodendron succedaneum/Trachyspermum ammi/Trilisa odoratissima/Tropaeolum majus/Tropaeolus majus/Tsuga canadensis/Turnera diffusa/Turnera ulmifolia/Tynanthus panurensis/Umbellularia california/Valeriana jatamansi/Valeriana officinalis/Vanilla planifolia/Vetiveria zizanioides/Viola tricolor/Viscum album/Zanthoxylum armatum/Zanthoxylum spp./Zea mays/Zingiber officinale
Sting	Allium cepa/Amomum aromaticum/Amomum subulatum/Apium graveolens/Glycyrrhiza glabra/Kaempferia galanga/Nigella sativa/Tamarindus indica
Stomach distress	Illicium verum
Stomachache	Allium cepa/Alpinia officinarum/Apium graveolens/Armoracia rusticana/Bixa orellana/Boswellia sacra/Capsicum spp./Carum carvi/Cymbopogon citratus/Elettaria cardamomum/Eryngium foetidum/Ferula assa-foetida/Gaultheria procumbens/Juniperus Communis/Myristica fragrans/Nigella sativa/Peumus boldus/Pimenta dioica/Piper nigrum/Rhus coriaria/Sassafras albidum/Tamarindus indica/Xylopia aethiopica/Zingiber officinale
