activity	sp2
Alterative	Acacia farnesiana/Achyranthes aspera/Actaea pachypoda/Actaea racemosa/Aegle marmelos/Allium sativum/Alnus glutinosa/Anacardium occidentale/Ananas comosus/Andira araroba/Andrographis paniculata/Anemore pulsatilla/Angelica sinensis/Apocynum cannabinum/Aralia racemosa/Aralia spinosa/Arctium lappa/Argemone mexicana/Aristolochia serpentaria/Asclepias incarnata/Asclepias syriaca/Asparagus racemosus/Ayapana triplinervis/Azadirachta indica/Berberis aristata/Berberis vulgaris/Betula lenta/Boswellia sacra/Brunfelsia grandiflora/Brunfelsia uniflora/Buxus sempervirens/Calotropis gigantea/Calotropis procera/Calystegia sepium/Cannabis sativa/Capparis spinosa/Carica papaya/Cayaponia tayuya/Ceiba pentandra/Centella asiatica/Chelidonium majus/Chimaphila spp./Chionanthus virginicus/Cinnamomum tamala/Citrullus colocynthis/Colchicum autumnale/Commiphora wightii/Conium maculatum/Cullen corylifolium/Curculigo orchioides/Curcuma longa/Cuscuta americana/Daphne mezereum/Desmodium gangeticum/Dicentra canadensis/Dicentra cucullaria/Dioscorea bulbifera/Dodonaea viscosa/Echinacea spp./Eclipta prostrata/Ephedra gerardiana/Erechtites hieraciifolius/Euonymus atropurpureus/Eupatorium cannabinum/Euphrasia spp./Evolvulus alsinoides/Fragaria vesca/Fucus vesiculosus/Galega offininalis/Galium aparine/Galium verum/Glechoma hederacea/Gloriosa superba/Glycyrrhiza glabra/Guariacum Sanctum/Gymnema sylvestre/Hamamelis virginiana/Helianthemum canadense/Hemidesmus indicus/Hydrangea arborescens/Hydrastis canadensis/Inula helenium/Ipomoea batatas/Iris versicolor/Juglans cinerea/Juglans nigra/Juglans regia/Justicia adhatoda/Kalmia latifolia/Larrea tridentata/Lawsonia inermis/Lemna minor/Leonurus japonicus/Mahonia aquifolium/Marrubium vulgare/Marsdenia cundurango/Medicago sativa/Melilotus offinalis/Menispermum canadense/Mimosa pudica/Mirabilis jalapa/Morella cerifera/Oenanthe aquatica/Paeonia officinalis/Panax ginseng/Peganum harmala/Phellodendron amurense/Phlebodium aureum/Phyllanthus emblica/Physalis alkekengi/Phytolacca americana/Piper longum/Plumbago Zeylanica/Plumeria rubra/Podophyllum peltatum/Polemonium reptans/Portulaca oleracea/Prunella vulgaris/Prunus dulcis/Rubia cordifolia/Rumex aquaticus/Rumex crispus/Salvia miltiorrhiza/Sambucus canadensis/Sambucus nigra/Sanguinaria canadensis/Sanicula europaea/Saponaria officinalis/Sassafras albidum/Saussurea costus/Scrophularia nodosa/Sempervivum tectorum/Senna tora/Sida cordifolia/Silphium laciniatum/Silphium perfoliatum/Silybum marianum/Smilax aristolochiifolia/Solanum dulcamara/Solanum nigrum/Solanum tuberosum/Stillingia sylvatica/Swertia chirayta/Symphytum spp./Taraxacum officinale/Tephrosia purpurea/Terminalia chebula/Teucrium scordium/Teucrium scorodonia/Thespesia populnea/Tinospora cordifolia/Trifolium pratense/Vataireopsis araroba/Veronica becca/Veronica officinalis/Vitex negundo/Withania somnifera/Zanthoxylum spp.
Altitude sickness	Allium sativum
Alzheimer's disease	Allium sativum/Alpinia officinarum/Amomum aromaticum/Amomum compactum/Amomum subulatum/Apium graveolens/Boswellia sacra/Carum carvi/Costus speciosus/Cunila origanoides/Curcuma longa/Curcuma xanthorrhiza/Curcuma zedoaria/Glycyrrhiza glabra/Laurus nobilis/Persea americana/Syzygium aromaticum/Zingiber officinale
Amebiasis	Allium sativum/C. calisaya/C. officinalis/C. pubescens/Kaempferia galanga
Amebicide	Acacia nilotica/Aegle marmelos/Ailanthus altissima/Allium cepa/Allium sativum/Anacardium occidentale/Artemisia ludoviciana/Asparagus racemosus/Azadirachta indica/Berberis vulgaris/Boerhavia diffusa/Camellia sinensis/Carapichea ipecacuanha/Carica papaya/Cassia fistula/Chamaesyce hirta/Chenopodium ambrosioides/Cinchona officinalis/Coccinia grandis/Coptis spp./Couma macrocarpa/Cullen corylifolium/Curcuma longa/Dicliptera unguiculata/Dysphania ambrosioides/Glycyrrhiza glabra/Hedera helix/Holarrhena pubescens/Hydrastis canadensis/Lantana camara/Larrea tridentata/Mahonia aquifolium/Nigella sativa/Peganum harmala/Persea americana/Phyllanthus niruri/Picrama excelsa/Picrasma excelsa/Piper betle/Psidium guajava/Psychotria ipecacuanha/Punica granatum/Quassia amara/Robinia pseudoacacia/Sida cordifolia/Simarouba amara/Simarouba glauca/Tamarindus indica/Teucrium cubense/Valeriana jatamansi/Withania somnifera
Amenorrhea	Allium sativum/Apium graveolens/Cinnamomum aromaticum/Cinnamomum verum/Cocos nucifera/Commiphora myrrhea/Crocus sativus/Curcuma longa/Curcuma xanthorrhiza/Ferula assa-foetida/Gaultheria procumbens/Juniperus Communis/Laurus nobilis/Lindera benzoin/Nigella sativa/Osmorhiza spp./Persea americana/Sesamum indicum/Tamarindus indica/Xylopia aethiopica
Amnesia	Cinnamomum verum/Datura inoxia/Datura stramonium
AMP inhbitor	Cannabis sativa
Amphicholeretic	Fumaria officinalis
Amylolytic	Canavalia ensiformis
