Aconitum napellus subsp. neomontanum	
Aconitum nasutum	1496658
Aconitum nasutum Fisch.et Rehd.	
Aconitum nasutum Fisch.et Reichb.	
Aconitum nemorum	286048
Aconitum orientale	112592
Aconitum orientale Mill	
Aconitum orochryseum	
Aconitum palmatum	279772
Aconitum paniculatum	
Aconitum paniculatum Lam.	
Aconitum pendulum	50878
Aconitum piepunense	226113
Aconitum pseudohuilense	
Aconitum pseudohuiliense	
Aconitum pseudostapfinum W.T.Wang	
Aconitum puberulum	
Aconitum pukeense	2034152
Aconitum pulchellum Hand-Mazz	
Aconitum racemulosum var.pengzhounense	
Aconitum ranunculaefolium	
Aconitum rotundifolum	
Aconitum sachalinense	50880
Aconitum sachalinense Fr.Schmidt(Saglalien)	
Aconitum sanyoense	49189
Aconitum sanyoense var.tonense	
Aconitum saposhnikovii	
Aconitum sczukinii	1961227
Aconitum senanense	50881
Aconitum septentrionale	112593
Aconitum seravschanicum	246713
Aconitum sinomontanum	215066
Aconitum soongaricum	568276
Aconitum soongoricum	
Aconitum sp.	
Aconitum spicatum	
Aconitum spp.	
Aconitum subcuneatum	
Aconitum subcuneatum Nakai	
Aconitum sungpanense	226107
Aconitum talaossicum	
Aconitum talassicum	1496662
Aconitum tamarae	
Aconitum tanguticum	215068
Aconitum tasiromontanum	
Aconitum tortuosum	
Aconitum toxicum	1496663
Aconitum tranzschelii	
Aconitum turczanmowii	
Aconitum variegatum	112594
Aconitum varigatum	
Aconitum vesoense var. macroyesoense	
Aconitum vesoense var.macroyesoense	
Aconitum vilmorinianum Kom	
Aconitum vilmorrianum	
Aconitum vilmorrinianum var.albifidum	
Aconitum violaceum	279771
Aconitum volubile	85361
Aconitum yesoense	
Aconitum yesoense var.macroyesoense	
Aconitum zeravchanicum	
Aconitum zeravschanicum Steinb.	
Aconitum zeravschnicum	
Aconitum zuccarini	
Acorus calamus	4465
Acorus calanus L.	
Acorus gramineus	55184
Acorus tatarinowii	123564
Acorus tatrinowii	
Acosmium panamense Benth.	
Acotinum carmichaeli	
Acotinum nagarum var.lasiandrum	
Acourtia runcinata	130232
Acourtia thurberi	
Acremonium chrysogenum	5044
Acremonium fusidioides	749674
Acremonium fusigerum	
Acremonium kiliense Grutz TC 1703	
Acremonium lazulae	
Acremonium lolli	
Acremonium lorii	
Acremonium murorum (Corda)W.Gams SANK 20793	
Acremonium roseum	
Acremonium roseum I 4267	
Acremonium sp.	2046025
Acremonium sp. 132-94	
Acremonium sp. AB 2086L-51	
Acremonium sp. AB 2093T-194	
Acremonium sp. AWA16-1	
Acremonium sp. BX86	
Acremonium sp. KY12702	
Acremonium sp. KY4917	
Acremonium sp. LL-Cyan 416	
