source,target
C00001907,8622
C00001591,5896
C00002091,5897
C00003283,4977
C00001451,8422
C00001267,8473
C00001268,8474
C00000727,8522
C00001453,8525
C00003593,9595
C00003594,9596
C00002239,9601
C00003759,9602
C00003595,9612
C00002268,9630
C00003733,9632
C00002411,9646
C00003019,9657
C00003734,9681
C00003195,9688
C00001671,9696
C00002709,9698
C00002968,7622
C00001657,7626
C00002969,7632
C00002970,7637
C00002971,7638
C00002442,8624
C00002902,8630
C00002494,8632
C00006094,8633
C00002443,8637
C00001320,8643
C00010186,9714
C00003493,9740
C00001804,2721
C00002080,2722
C00002208,2724
C00001613,2726
C00002018,2729
C00001806,2742
C00001932,2743
C00002315,2745
C00001614,2746
C00001438,2747
C00003403,2750
C00002792,2755
C00001615,2759
C00001686,2764
C00003071,2765
C00006610,2772
C00001687,2783
C00002276,2785
C00001688,2787
C00001994,2801
C00002137,2804
C00000173,2848
C00003220,2851
C00003222,2853
C00000940,2871
C00003739,2873
C00001301,2874
C00002316,2879
C00002691,2884
C00003500,2897
C00002022,2901
C00002138,2902
C00002139,2903
C00001812,2906
C00003405,2913
C00002980,2920
C00002135,2921
C00006613,2923
C00002416,2925
C00001617,2934
C00003564,2937
C00001527,2939
C00004684,2941
C00003761,2944
C00001815,2971
C00003808,2980
C00019689,16742
C00019679,16750
C00002966,1228
C00003041,507
C00002782,512
C00002976,514
C00002733,520
C00003661,1307
C00002732,1336
C00002678,1368
C00000551,1369
C00002045,1556
C00001654,6773
C00028576,6773
C00001748,6777
C00001750,6779
C00003751,6783
C00002964,6785
C00002965,6786
C00002296,6800
C00001546,6841
C00002437,6891
C00003326,6915
C00003454,6918
C00003328,6922
C00003329,6926
C00003330,6927
C00003332,6936
C00002550,6937
C00001595,6945
C00001597,6947
C00003662,6949
C00001547,6951
C00003334,6963
C00003455,6989
C00003457,6991
C00002403,6994
C00002843,6999
C00004638,18010
C00002808,3812
C00002459,3828
C00003417,3829
C00001627,3852
C00003235,3854
C00003237,3856
C00002809,3861
C00003568,3863
C00003569,3864
C00002289,3870
C00003238,3882
C00002915,3884
C00001532,3886
C00003239,3888
C00003240,3900
C00001997,3911
C00001569,3914
C00002328,3915
C00002329,3916
C00003768,3918
C00002083,3925
C00002330,3929
C00002032,3931
C00003224,2982
C00003225,2984
C00003406,2987
C00002317,2989
C00001618,2992
C00027924,3000
C00001619,3004
C00025552,3043
C00001818,3065
C00001583,3079
C00001584,3080
C00002417,3094
C00002241,3249
C00002453,3250
C00002588,582
C00001638,4848
C00003771,4851
C00001726,4855
C00001310,4892
C00001309,4896
C00002602,4915
C00003263,4920
C00003264,4921
C00003268,4925
C00003270,4927
C00003271,4928
C00003273,4930
C00003277,4935
C00003278,4937
C00003281,4939
C00003282,4942
C00003709,4944
C00002156,4950
C00002158,4952
C00001639,4970
C00001628,3934
C00003119,3935
C00001533,3937
C00003687,3945
C00003688,3946
C00003692,3951
C00003694,3953
C00001839,3955
C00001841,3957
C00001842,3958
C00002731,3962
C00003419,3985
C00002244,3999
C00003513,4002
C00002245,4021
C00002246,4029
C00002247,4032
C00003613,4037
C00002332,4039
C00002985,4041
C00001062,1579
C00001937,4989
C00002160,4994
C00003746,5016
C00001858,5049
C00002339,5059
C00001640,5061
C00008822,5066
C00000962,5067
C00003517,5069
C00024135,5069
C00002881,5072
C00001729,5238
C00004533,5262
C00001042,5263
C00001410,5265
C00002924,5271
C00001641,5278
C00001731,5283
C00001733,5293
C00002925,5297
C00000321,5298
C00001976,5316
C00002379,5319
C00001978,5320
C00003082,5321
C00002953,5323
C00002954,5324
C00002926,5328
C00003046,5331
C00028300,5338
C00002250,5338
C00002041,5339
C00002977,9746
C00003494,9747
C00001271,9752
C00001927,9774
C00003378,9776
C00001328,9778
C00003381,9783
C00003066,9860
C00011054,9860
C00003021,9861
C00003735,9876
C00002126,9881
C00003558,9908
C00001779,9910
C00002127,9912
C00016646,9914
C00003197,9921
C00003101,9928
C00002201,9935
C00001672,9938
C00002867,9945
C00002203,9946
C00002270,9951
C00003102,9954
C00003383,9956
C00003641,9958
C00002229,7659
C00003723,7713
C00003340,7715
C00001896,7718
C00003009,7732
C00006969,7734
C00001070,7005
C00002004,7012
C00002551,7014
C00002404,7017
C00002703,7020
C00003336,7023
C00003631,7029
C00001601,7030
C00001599,7031
C00001602,7033
C00002761,7055
C00003358,8690
C00003546,8710
C00002444,8731
C00002622,8775
C00002860,8779
C00001755,7767
C00003341,7776
C00003460,7777
C00002892,7779
C00001078,7781
C00028775,7782
C00002763,7785
C00003010,7795
C00002555,7797
C00003343,7806
C00001953,7849
C00001305,18446
C00001258,16007
C00018712,16324
C00019673,16356
C00001390,16357
C00001458,16358
C00002005,7013
C00003165,7016
C00003335,7022
C00003337,7024
C00001422,7034
C00003534,7036
C00001289,7038
C00003510,3825
C00003234,3851
C00003236,3855
C00003570,3865
C00001494,3867
C00002288,3869
C00002876,3872
C00002810,3885
C00002064,8217
C00004895,8224
C00002898,8227
C00002666,8240
C00002232,8243
C00003543,8254
C00023747,17759
C00007297,17764
C00019577,18237
C00001358,18237
C00001408,18243
C00023749,18252
C00019548,16084
C00007237,16085
C00027159,16096
C00001898,16096
C00002756,16104
C00001819,16118
C00001406,4110
C00003545,8484
C00001393,17822
C00000762,17827
C00000123,17835
C00000982,17846
C00007323,16375
C00000830,16377
C00001784,16380
C00024613,16380
C00019694,16171
C00001264,16188
C00001232,16196
C00000570,16200
C00007620,16578
C00007608,17857
C00007536,15537
C00007283,15540
C00001434,16765
C00001331,15334
C00003820,15335
C00001525,15336
C00001278,16423
C00007308,16426
C00000615,16433
C00001446,16441
C00019658,16444
C00019697,16450
C00001530,16822
C00030483,18089
C00007479,16255
C00001352,16283
C00000365,15560
C00007370,15430
C00007369,15431
C00007372,15432
C00007371,15435
C00007373,15437
C00007284,15439
C00003755,15440
C00007282,15441
C00007263,15463
C00001270,9751
C00019653,17892
C00019652,17897
C00000206,16914
C00002221,18328
C00001611,2430
C00002130,2437
C00001961,2443
C00010868,15382
C00000831,15387
C00000814,15389
C00011023,15393
C00011024,15394
C00000819,15396
C00000807,15400
C00007234,15401
C00000828,15403
C00001895,7712
C00025981,7714
C00001754,7720
C00003537,7739
C00002553,7775
C00003342,7783
C00003583,7800
C00002614,7803
C00001630,4377
C00001633,4384
C00002877,4395
C00002248,4399
C00000671,4401
C00002596,4410
C00002150,4435
C00003248,4441
C00000809,15408
C00000810,15409
C00007233,15413
C00007253,15415
C00000881,15417
C00003654,16587
C00028005,16592
C00019544,16593
C00007460,16595
